Date Time Inlet_Pressure Outlet_Pressure Confining_Pressure Temperature
17.11.2020 07:55:58 83.92 10.92 202.4 13.4
17.11.2020 07:56:08 83.85 10.99 202.4 13.4
17.11.2020 07:56:18 83.77 11.05 202.4 13.4
17.11.2020 07:56:28 83.72 11.12 202.4 13.4
17.11.2020 07:56:38 83.62 11.19 202.4 13.4
17.11.2020 07:56:48 83.56 11.24 202.4 13.4
17.11.2020 07:56:58 83.5 11.29 202.39 13.4
17.11.2020 07:57:08 83.4 11.36 202.39 13.4
17.11.2020 07:57:18 83.37 11.43 202.39 13.4
17.11.2020 07:57:28 83.28 11.49 202.39 13.4
17.11.2020 07:57:38 83.22 11.53 202.39 13.4
17.11.2020 07:57:48 83.13 11.61 202.39 13.4
17.11.2020 07:57:58 83.08 11.65 202.39 13.4
17.11.2020 07:58:08 83.02 11.73 202.39 13.4
17.11.2020 07:58:18 82.95 11.78 202.39 13.4
17.11.2020 07:58:28 82.9 11.85 202.39 13.3
17.11.2020 07:58:38 82.85 11.91 202.39 13.4
17.11.2020 07:58:48 82.73 11.97 202.39 13.4
17.11.2020 07:58:58 82.7 12.03 202.39 13.4
17.11.2020 07:59:08 82.63 12.1 202.39 13.4
17.11.2020 07:59:18 82.55 12.16 202.39 13.4
17.11.2020 07:59:28 82.5 12.21 202.39 13.4
17.11.2020 07:59:38 82.42 12.27 202.39 13.4
17.11.2020 07:59:48 82.36 12.34 202.39 13.4
17.11.2020 07:59:58 82.3 12.37 202.39 13.4
17.11.2020 08:00:08 82.23 12.45 202.39 13.4
17.11.2020 08:00:18 82.15 12.5 202.37 13.4
17.11.2020 08:00:28 82.11 12.57 202.37 13.4
17.11.2020 08:00:38 82.02 12.62 202.39 13.4
17.11.2020 08:00:48 81.96 12.69 202.37 13.4
17.11.2020 08:00:58 81.9 12.74 202.37 13.4
17.11.2020 08:01:08 81.81 12.81 202.37 13.4
17.11.2020 08:01:18 81.78 12.85 202.39 13.4
17.11.2020 08:01:28 81.71 12.91 202.37 13.4
17.11.2020 08:01:38 81.65 12.99 202.35 13.4
17.11.2020 08:01:48 81.56 13.04 202.35 13.4
17.11.2020 08:01:58 81.52 13.1 202.37 13.4
17.11.2020 08:02:08 81.47 13.16 202.37 13.4
17.11.2020 08:02:18 81.4 13.21 202.37 13.4
17.11.2020 08:02:28 81.35 13.26 202.35 13.4
17.11.2020 08:02:38 81.27 13.32 202.35 13.4
17.11.2020 08:02:48 81.18 13.39 202.35 13.4
17.11.2020 08:02:58 81.12 13.44 202.35 13.3
17.11.2020 08:03:08 81.08 13.5 202.34 13.3
17.11.2020 08:03:18 80.98 13.56 202.35 13.4
17.11.2020 08:03:28 80.93 13.62 202.34 13.4
17.11.2020 08:03:38 80.88 13.68 202.34 13.4
17.11.2020 08:03:48 80.78 13.74 202.34 13.4
17.11.2020 08:03:58 80.75 13.78 202.34 13.4
17.11.2020 08:04:08 80.68 13.84 202.34 13.4
17.11.2020 08:04:18 80.62 13.91 202.34 13.4
17.11.2020 08:04:28 80.57 13.96 202.34 13.4
17.11.2020 08:04:38 80.51 14.02 202.34 13.4
17.11.2020 08:04:48 80.45 14.08 202.32 13.4
17.11.2020 08:04:58 80.4 14.13 202.32 13.3
17.11.2020 08:05:08 80.33 14.19 202.32 13.3
17.11.2020 08:05:18 80.26 14.24 202.34 13.3
17.11.2020 08:05:28 80.2 14.29 202.32 13.3
17.11.2020 08:05:38 80.13 14.36 202.34 13.3
17.11.2020 08:05:48 80.06 14.41 202.32 13.3
17.11.2020 08:05:58 80.02 14.46 202.32 13.3
17.11.2020 08:06:08 79.97 14.53 202.32 13.4
17.11.2020 08:06:18 79.86 14.58 202.32 13.4
17.11.2020 08:06:28 79.82 14.65 202.32 13.4
17.11.2020 08:06:38 79.77 14.69 202.32 13.4
17.11.2020 08:06:48 79.72 14.74 202.34 13.4
17.11.2020 08:06:58 79.63 14.8 202.32 13.4
17.11.2020 08:07:08 79.6 14.86 202.32 13.4
17.11.2020 08:07:18 79.53 14.91 202.32 13.4
17.11.2020 08:07:28 79.48 14.95 202.34 13.4
17.11.2020 08:07:38 79.4 15.02 202.34 13.4
17.11.2020 08:07:48 79.36 15.08 202.34 13.4
17.11.2020 08:07:58 79.31 15.13 202.32 13.3
17.11.2020 08:08:08 79.23 15.19 202.32 13.3
17.11.2020 08:08:18 79.16 15.25 202.32 13.3
17.11.2020 08:08:28 79.12 15.29 202.32 13.3
17.11.2020 08:08:38 79.05 15.34 202.32 13.3
17.11.2020 08:08:48 79 15.4 202.32 13.3
17.11.2020 08:08:58 78.92 15.46 202.32 13.3
17.11.2020 08:09:08 78.86 15.52 202.32 13.3
17.11.2020 08:09:18 78.82 15.56 202.32 13.4
17.11.2020 08:09:28 78.76 15.62 202.31 13.4
17.11.2020 08:09:38 78.71 15.68 202.31 13.4
17.11.2020 08:09:48 78.63 15.72 202.31 13.3
17.11.2020 08:09:58 78.56 15.79 202.32 13.3
17.11.2020 08:10:08 78.51 15.83 202.31 13.3
17.11.2020 08:10:18 78.46 15.9 202.31 13.3
17.11.2020 08:10:28 78.38 15.93 202.32 13.3
17.11.2020 08:10:38 78.33 16 202.31 13.3
17.11.2020 08:10:48 78.26 16.05 202.31 13.3
17.11.2020 08:10:58 78.23 16.09 202.31 13.3
17.11.2020 08:11:08 78.17 16.16 202.31 13.3
17.11.2020 08:11:18 78.12 16.22 202.31 13.3
17.11.2020 08:11:28 78.05 16.27 202.31 13.3
17.11.2020 08:11:38 77.98 16.31 202.31 13.3
17.11.2020 08:11:48 77.93 16.37 202.29 13.3
17.11.2020 08:11:58 77.87 16.42 202.31 13.3
17.11.2020 08:12:08 77.83 16.46 202.31 13.3
17.11.2020 08:12:18 77.76 16.51 202.29 13.3
17.11.2020 08:12:28 77.71 16.56 202.31 13.3
17.11.2020 08:12:38 77.66 16.63 202.31 13.3
17.11.2020 08:12:48 77.6 16.68 202.31 13.4
17.11.2020 08:12:58 77.55 16.72 202.29 13.4
17.11.2020 08:13:08 77.48 16.78 202.29 13.4
17.11.2020 08:13:18 77.45 16.84 202.29 13.4
17.11.2020 08:13:28 77.38 16.88 202.29 13.3
17.11.2020 08:13:38 77.32 16.93 202.29 13.3
17.11.2020 08:13:48 77.25 16.99 202.29 13.3
17.11.2020 08:13:58 77.21 17.04 202.31 13.3
17.11.2020 08:14:08 77.15 17.09 202.29 13.3
17.11.2020 08:14:18 77.08 17.15 202.29 13.3
17.11.2020 08:14:28 77.05 17.19 202.29 13.3
17.11.2020 08:14:38 76.98 17.25 202.31 13.3
17.11.2020 08:14:48 76.92 17.29 202.29 13.3
17.11.2020 08:14:58 76.86 17.35 202.29 13.3
17.11.2020 08:15:08 76.85 17.4 202.31 13.3
17.11.2020 08:15:18 76.76 17.46 202.31 13.3
17.11.2020 08:15:28 76.7 17.49 202.29 13.3
17.11.2020 08:15:38 76.65 17.55 202.29 13.3
17.11.2020 08:15:48 76.6 17.6 202.29 13.4
17.11.2020 08:15:58 76.53 17.64 202.31 13.3
17.11.2020 08:16:08 76.46 17.7 202.29 13.3
17.11.2020 08:16:18 76.43 17.77 202.29 13.3
17.11.2020 08:16:28 76.38 17.8 202.29 13.3
17.11.2020 08:16:38 76.33 17.85 202.29 13.3
17.11.2020 08:16:48 76.26 17.9 202.28 13.3
17.11.2020 08:16:58 76.22 17.95 202.29 13.3
17.11.2020 08:17:08 76.13 17.99 202.29 13.3
17.11.2020 08:17:18 76.1 18.05 202.28 13.3
17.11.2020 08:17:28 76.05 18.1 202.28 13.3
17.11.2020 08:17:38 75.98 18.14 202.29 13.3
17.11.2020 08:17:48 75.95 18.21 202.28 13.3
17.11.2020 08:17:58 75.9 18.24 202.28 13.3
17.11.2020 08:18:08 75.85 18.29 202.26 13.3
17.11.2020 08:18:18 75.77 18.35 202.28 13.3
17.11.2020 08:18:28 75.72 18.39 202.28 13.3
17.11.2020 08:18:38 75.68 18.44 202.28 13.3
17.11.2020 08:18:48 75.63 18.5 202.28 13.3
17.11.2020 08:18:58 75.6 18.54 202.28 13.3
17.11.2020 08:19:08 75.52 18.58 202.28 13.3
17.11.2020 08:19:18 75.46 18.64 202.28 13.3
17.11.2020 08:19:28 75.41 18.69 202.28 13.3
17.11.2020 08:19:38 75.4 18.73 202.26 13.4
17.11.2020 08:19:48 75.33 18.78 202.26 13.4
17.11.2020 08:19:58 75.27 18.83 202.26 13.4
17.11.2020 08:20:08 75.21 18.89 202.26 13.4
17.11.2020 08:20:18 75.18 18.92 202.26 13.4
17.11.2020 08:20:28 75.11 18.97 202.26 13.3
17.11.2020 08:20:38 75.05 19.02 202.25 13.3
17.11.2020 08:20:48 75 19.07 202.25 13.3
17.11.2020 08:20:58 74.95 19.12 202.25 13.3
17.11.2020 08:21:08 74.9 19.17 202.26 13.3
17.11.2020 08:21:18 74.81 19.21 202.25 13.3
17.11.2020 08:21:28 74.81 19.26 202.25 13.3
17.11.2020 08:21:38 74.76 19.32 202.25 13.3
17.11.2020 08:21:48 74.71 19.35 202.25 13.3
17.11.2020 08:21:58 74.66 19.39 202.25 13.3
17.11.2020 08:22:08 74.61 19.46 202.25 13.3
17.11.2020 08:22:18 74.56 19.5 202.25 13.3
17.11.2020 08:22:28 74.48 19.54 202.25 13.3
17.11.2020 08:22:38 74.43 19.58 202.25 13.3
17.11.2020 08:22:48 74.38 19.64 202.25 13.3
17.11.2020 08:22:58 74.33 19.67 202.25 13.3
17.11.2020 08:23:08 74.3 19.73 202.25 13.3
17.11.2020 08:24:08 73.98 20.01 202.25 13.3
17.11.2020 08:25:08 73.71 20.28 202.25 13.3
17.11.2020 08:26:08 73.4 20.55 202.25 13.3
17.11.2020 08:27:08 73.08 20.83 202.25 13.3
17.11.2020 08:28:08 72.83 21.09 202.21 13.3
17.11.2020 08:29:08 72.56 21.34 202.23 13.3
17.11.2020 08:30:08 72.27 21.62 202.21 13.3
17.11.2020 08:31:08 71.97 21.88 202.21 13.3
17.11.2020 08:32:08 71.71 22.12 202.2 13.3
17.11.2020 08:33:08 71.42 22.38 202.2 13.3
17.11.2020 08:34:08 71.17 22.63 202.18 13.3
17.11.2020 08:35:08 70.93 22.88 202.18 13.3
17.11.2020 08:36:08 70.65 23.13 202.18 13.3
17.11.2020 08:37:08 70.4 23.35 202.18 13.3
17.11.2020 08:38:08 70.12 23.61 202.18 13.3
17.11.2020 08:39:08 69.87 23.85 202.18 13.3
17.11.2020 08:40:08 69.63 24.07 202.18 13.3
17.11.2020 08:41:08 69.37 24.31 202.18 13.3
17.11.2020 08:42:08 69.12 24.53 202.18 13.3
17.11.2020 08:43:08 68.9 24.76 202.17 13.3
17.11.2020 08:44:08 68.65 24.98 202.17 13.3
17.11.2020 08:45:08 68.43 25.21 202.17 13.3
17.11.2020 08:46:08 68.2 25.42 202.17 13.3
17.11.2020 08:47:08 67.93 25.65 202.15 13.3
17.11.2020 08:48:08 67.72 25.86 202.14 13.3
17.11.2020 08:49:08 67.51 26.07 202.15 13.3
17.11.2020 08:50:08 67.28 26.29 202.15 13.3
17.11.2020 08:51:08 67.08 26.5 202.12 13.3
17.11.2020 08:52:08 66.85 26.69 202.12 13.3
17.11.2020 08:53:08 66.62 26.9 202.12 13.3
17.11.2020 08:54:08 66.38 27.1 202.12 13.3
17.11.2020 08:55:08 66.2 27.3 202.12 13.3
17.11.2020 08:56:08 66 27.49 202.14 13.3
17.11.2020 08:57:08 65.77 27.7 202.12 13.3
17.11.2020 08:58:08 65.58 27.88 202.12 13.3
17.11.2020 08:59:08 65.37 28.08 202.1 13.3
17.11.2020 09:00:08 65.16 28.27 202.1 13.3
17.11.2020 09:01:08 64.98 28.46 202.1 13.3
17.11.2020 09:02:08 64.8 28.65 202.1 13.3
