Date Time Temperature Temperature_Out Temperature_In Inlet_Pressure Outlet_Pressure Confining_Pressure_Reactor Confining_Pressure_Sample
27.01.2023 10:39:33 14 13.9 13.9 10.79 0.127 21.37 12.55
27.01.2023 10:39:43 14 13.9 13.9 10.77 0.131 21.38 12.55
27.01.2023 10:39:53 14 13.9 13.9 10.78 0.123 21.36 12.55
27.01.2023 10:40:03 13.9 13.9 13.9 10.76 0.129 21.37 12.55
27.01.2023 10:40:13 13.9 13.9 13.9 10.77 0.131 21.36 12.55
27.01.2023 10:40:23 13.9 13.9 13.9 10.77 0.129 21.36 12.55
27.01.2023 10:40:33 13.9 13.9 13.9 10.78 0.133 21.37 12.55
27.01.2023 10:40:43 13.9 13.9 13.9 10.77 0.136 21.36 12.55
27.01.2023 10:40:53 13.9 13.9 13.9 10.78 0.136 21.36 12.55
27.01.2023 10:41:03 14 13.9 13.9 10.76 0.133 21.36 12.55
27.01.2023 10:41:13 14 13.9 13.9 10.77 0.133 21.36 12.55
27.01.2023 10:41:23 13.9 13.9 13.9 10.76 0.135 21.36 12.55
27.01.2023 10:41:33 13.9 13.9 13.9 10.77 0.135 21.36 12.55
27.01.2023 10:41:43 13.9 13.9 13.9 10.76 0.136 21.36 12.55
27.01.2023 10:41:53 13.9 13.9 13.9 10.76 0.133 21.36 12.55
27.01.2023 10:42:03 13.9 13.9 13.9 10.75 0.138 21.36 12.55
27.01.2023 10:42:13 13.9 13.9 13.9 10.75 0.14 21.36 12.55
27.01.2023 10:42:23 14 13.9 13.9 10.75 0.138 21.36 12.54
